POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
1,Bhuvneshwar Kumar,17,17,66,490,23,21.3,7.42,17.21,1,0,2016,,,,,,,,,,,
2,Yuzvendra Chahal,13,13,49,401,21,19.09,8.15,14.04,1,0,2016,,,,,,,,,,,
3,Shane Watson,16,16,56,485,20,24.25,8.58,16.95,1,0,2016,,,,,,,,,,,
4,Dhawal Kulkarni,14,14,49,364,18,20.22,7.42,16.33,1,0,2016,,,,,,,,,,,
5,Mitchell McClenaghan,14,14,53,436,17,25.64,8.17,18.82,1,0,2016,,,,,,,,,,,
6,Dwayne Bravo,15,15,56,494,17,29.05,8.82,19.76,1,0,2016,,,,,,,,,,,
7,Mustafizur Rahman,16,16,61,421,17,24.76,6.9,21.52,0,0,2016,,,,,,,,,,,
8,Jasprit Bumrah,14,14,52,406,15,27.06,7.8,20.8,0,0,2016,,,,,,,,,,,
9,Sandeep Sharma,14,14,50,366,15,24.4,7.32,20,0,0,2016,,,,,,,,,,,
10,Andre Russell,12,12,36,291,15,19.4,7.97,14.6,1,0,2016,,,,,,,,,,,
11,Barinder Sran,14,14,49,413,14,29.5,8.34,21.21,0,0,2016,,,,,,,,,,,
12,Axar Patel,14,14,48,388,13,29.84,8.11,22.07,1,0,2016,,,,,,,,,,,
13,Mohit Sharma,14,14,48,407,13,31.3,8.39,22.38,0,0,2016,,,,,,,,,,,
14,Chris Morris,12,12,44,308,13,23.69,7,20.3,0,0,2016,,,,,,,,,,,
15,Amit Mishra,14,14,46,344,13,26.46,7.47,21.23,1,0,2016,,,,,,,,,,,
16,Adam Zampa,5,5,17,115,12,9.58,6.76,8.5,0,1,2016,,,,,,,,,,,
17,Moises Henriques,17,17,52,415,12,34.58,7.98,26,0,0,2016,,,,,,,,,,,
18,Sreenath Aravind,9,9,29,216,11,19.63,7.4,15.9,0,0,2016,,,,,,,,,,,
19,Sunil Narine,11,11,43,304,11,27.63,7.09,23.36,0,0,2016,,,,,,,,,,,
20,Ashok Dinda,9,9,30,231,11,21,7.57,16.63,0,0,2016,,,,,,,,,,,
21,Piyush Chawla,12,11,35,273,11,24.81,7.72,19.27,0,0,2016,,,,,,,,,,,
22,Chris Jordan,9,9,28,258,11,23.45,9.21,15.27,1,0,2016,,,,,,,,,,,
23,Zaheer Khan,12,12,43,337,10,33.7,7.71,26.2,0,0,2016,,,,,,,,,,,
24,Morne Morkel,10,10,35,297,10,29.7,8.36,21.3,0,0,2016,,,,,,,,,,,
25,Umesh Yadav,9,9,26,234,10,23.4,9,15.6,0,0,2016,,,,,,,,,,,
26,Ravichandran Ashwin,14,14,44,319,10,31.9,7.25,26.4,1,0,2016,,,,,,,,,,,
27,Tim Southee,11,11,43,329,9,36.55,7.65,28.66,0,0,2016,,,,,,,,,,,
28,Thisara Perera,12,11,33,326,9,36.22,9.82,22.11,0,0,2016,,,,,,,,,,,
29,Praveen Kumar,16,16,51,401,9,44.55,7.78,34.33,0,0,2016,,,,,,,,,,,
30,Ashish Nehra,8,8,26,199,9,22.11,7.65,17.33,0,0,2016,,,,,,,,,,,
31,Harbhajan Singh,14,14,49,392,9,43.55,8,32.66,0,0,2016,,,,,,,,,,,
